Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Trista Sutter,32,White,Female,Follower,Reality TV Personality,Influencer,Louis van Amstel,Season 1,6,6.16666666666667
Evander Holyfield,42,Black,Male,Leader,Professional Boxer,Fighter,Edyta Śliwińska,Season 1,5,5
Rachel Hunter,35,White,Female,Follower,Model,Influencer,Jonathan Roberts,Season 1,4,7.91666666666667
Joey McIntyre,32,White,Male,Leader,Singer,Music,Ashly DelGrosso,Season 1,3,7.11111111111111
John O'Hurley,50,White,Male,Leader,Actor,Acting,Charlotte Jørgensen,Season 1,2,8.29166666666667
Kelly Monaco,29,White,Female,Follower,Actress,Acting,Alec Mazo,Season 1,1,7.45833333333333
Kenny Mayne,46,White,Male,Leader,Sportscaster,Talk Show & News,Andrea Hale,Season 2,10,4.33333333333333
Tatum O'Neal,42,White,Female,Follower,Actress,Acting,Nick Kosovich,Season 2,9,6.66666666666667
Giselle Fernandez,44,Hispanic/Latino,Female,Follower,TV Journalist,Talk Show & News,Jonathan Roberts,Season 2,8,7.66666666666667
Master P,35,Black,Male,Leader,Rapper,Music,Ashly DelGrosso,Season 2,7,4.16666666666667
Tia Carrere,39,"Asian, Pacific Islander",Female,Follower,Actress,Acting,Maksim Chmerkovskiy,Season 2,6,7.66666666666667
George Hamilton,66,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 2,5,7.22222222222222
Lisa Rinna,42,White,Female,Follower,"Actress, TV Host","Acting, Talk Show & News",Louis van Amstel,Season 2,4,8.125
Stacy Keibler,26,White,Female,Follower,Professional Wrestler,Fighter,Tony Dovolani,Season 2,3,9.24242424242424
Jerry Rice,43,Black,Male,Leader,Professional Football Player,National Athlete,Anna Trebunskaya,Season 2,2,7.6969696969697
Drew Lachey,29,White,Male,Leader,Singer,Music,Cheryl Burke,Season 2,1,9.24242424242424
Tucker Carlson,37,White,Male,Leader,Political Journalist,Talk Show & News,Elena Grinenko,Season 3,11,4
Shanna Moakler,31,White,Female,Follower,Miss USA 1995,Influencer,Jesse DeSoto,Season 3,10,6.66666666666667
Harry Hamlin,54,White,Male,Leader,Actor,Acting,Ashly DelGrosso,Season 3,9,6.66666666666667
Vivica A. Fox,42,Black,Female,Follower,Actress,Acting,Nick Kosovich,Season 3,8,8.08333333333333
Willa Ford,25,White,Female,Follower,Singer,Music,Maksim Chmerkovskiy,Season 3,7,8.13333333333333
Sara Evans,35,White,Female,Follower,Singer,Music,Tony Dovolani,Season 3,WD,7
Jerry Springer,62,White,Male,Leader,TV Host,Talk Show & News,Kym Johnson,Season 3,5,6.91666666666667
Monique Coleman,25,Black,Female,Follower,Actress,Acting,Louis van Amstel,Season 3,4,8.43333333333333
Joey Lawrence,30,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 3,3,8.83333333333333
Mario Lopez,33,Hispanic/Latino,Male,Leader,"Actor, TV Host","Acting, Talk Show & News",Karina Smirnoff,Season 3,2,9.2
Emmitt Smith,37,Black,Male,Leader,Professional Football Player,National Athlete,Cheryl Burke,Season 3,1,8.93333333333333
Paulina Porizkova,41,White,Female,Follower,Model,Influencer,Alec Mazo,Season 4,11,6.66666666666667
Shandi Finnessey,28,White,Female,Follower,Miss USA 2004,Influencer,Brian Fortuna,Season 4,10,6.66666666666667
Leeza Gibbons,50,White,Female,Follower,TV Host,Talk Show & News,Tony Dovolani,Season 4,9,6.33333333333333
Clyde Drexler,44,Black,Male,Leader,Professional Basketball Player,National Athlete,Elena Grinenko,Season 4,8,5.2
Heather Mills,39,White,Female,Follower,Model & Charity Campaigner,Influencer,Jonathan Roberts,Season 4,7,7.38888888888889
John Ratzenberger,60,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 4,6,6.5
Billy Ray Cyrus,45,White,Male,Leader,Actor & Singer,"Acting, Music",Karina Smirnoff,Season 4,5,6.33333333333333
Ian Ziering,43,White,Male,Leader,TV & Broadway Actor,Acting,Cheryl Burke,Season 4,4,8.27777777777778
Laila Ali,29,Black,Female,Follower,Professional Boxer,Fighter,Maksim Chmerkovskiy,Season 4,3,9
Joey Fatone,30,White,Male,Leader,"Singer, Actor",Music,Kym Johnson,Season 4,2,9.15555555555556
Apolo Anton Ohno,25,Asian,Male,Leader,Olympic Speed Skater,Olympic Athlete,Julianne Hough,Season 4,1,9.17777777777778
Josie Maran,29,White,Female,Follower,"Model, Actress",Influencer,Alec Mazo,Season 5,12,5.33333333333333
Albert Reed,22,White,Male,Leader,Model,Influencer,Anna Trebunskaya,Season 5,11,7
Wayne Newton,65,White,Male,Leader,Singer,Music,Cheryl Burke,Season 5,10,5.77777777777778
Floyd Mayweather Jr.,30,Black,Male,Leader,Professional Boxer,Fighter,Karina Smirnoff,Season 5,9,6.91666666666667
Mark Cuban,49,White,Male,Leader,Entrepreneur,Businesspeople,Kym Johnson,Season 5,8,6.8
Sabrina Bryan,23,Hispanic/Latino,Female,Follower,"Singer, Actress","Music, Acting",Mark Ballas,Season 5,7,9
Jane Seymour,56,White,Female,Follower,Actress,Acting,Tony Dovolani,Season 5,6,8.16666666666667
Cameron Mathison,38,White,Male,Leader,Actor & TV Host,Acting,Edyta Śliwińska,Season 5,5,8.16666666666667
